"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D4";8;2050;59,13;61,18;"verse"
"D4";8;2239,99999999999;61,67;63,91;"verse"
"D4";8;2150,00000000001;64,27;66,42;"verse"
"D4";8;2319,99999999999;66,81;69,13;"verse"
"D4";8;2250;69,6;71,85;"verse"
"D4";9;2160;72,41;74,57;"verse"
"D4";9;2280;74,965;77,245;"verse"
"D4";9;2460,00000000001;77,63;80,09;"verse"
"D5";9;2200;2,02;4,22;"verse"
"D5";9;2140;4,56;6,7;"verse"
"D5";9;2460;7;9,46;"verse"
"D5";9;2250;9,72;11,97;"verse"
"D5";9;2060;12,49;14,55;"verse"
"D5";9;1970;14,755;16,725;"verse"
"D5";9;2360;17,045;19,405;"verse"
"D5";9;2040;19,57;21,61;"verse"
"D5";9;4230;22,34;26,57;"verse"
"D5";9;2420;26,83;29,25;"verse"
"D5";9;2230;29,6;31,83;"verse"
"D5";8;2400;32,1;34,5;"verse"
"D5";8;2010;35,32;37,33;"verse"
"D5";9;1970;37,68;39,65;"verse"
"D5";9;2250;40,02;42,27;"verse"
"D5";9;2810;42,61;45,42;"verse"
"D5";9;2120;45,88;48;"verse"
"D5";9;1890;48,315;50,205;"verse"
"D5";9;2400,00000000001;50,66;53,06;"verse"
"D5";9;2310;53,36;55,67;"verse"
"D5";8;1970;56,45;58,42;"verse"
"D5";8;1919,99999999999;58,77;60,69;"verse"
"D5";8;2070;61,18;63,25;"verse"
"D5";8;1810;63,53;65,34;"verse"
"D5";8;2300,00000000001;65,96;68,26;"verse"
"D5";9;2700;69;71,7;"verse"
"D5";9;2470,00000000001;72,07;74,54;"verse"
"D5";9;2460,00000000001;74,99;77,45;"verse"
"D6";9;2310;2,48;4,79;"verse"
"D6";9;2150;5,32;7,47;"verse"
"D6";9;2430;8,08;10,51;"verse"
"D6";9;2330;11,37;13,7;"verse"
"D6";9;2310;14,72;17,03;"verse"
"D6";9;2000;17,3;19,3;"verse"
"D6";9;2720;20,29;23,01;"verse"
"D6";8;2830;23,16;25,99;"verse"
"D6";9;3190;27,44;30,63;"verse"
"D6";11;3030;31;34,03;"verse"
"D6";9;2450;34,73;37,18;"verse"
"D6";8;2640;37,74;40,38;"verse"
"D6";8;1890;41,24;43,13;"verse"
"D6";9;2050;44,05;46,1;"verse"
